article_ID,author_ID,description,decision
1,24758929200,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
1,57201864184,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
1,57209881955,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
2,6701421652,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
2,57209824884,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
2,55764938300,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
3,57202580740,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
3,55681652500,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
3,8421746800,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
4,57196952707,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
4,8517650500,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
4,6603410853,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
5,57188691775,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
5,57202860730,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
5,56950317400,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
6,14057706900,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
6,57205762398,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
6,57198832579,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
7,16066928300,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
7,57194703295,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
7,6507391043,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
8,9041055700,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
8,57200206650,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
8,57199980412,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
9,35479684000,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
9,56702333100,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
9,57212277009,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
10,25639041400,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
10,57193518829,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
10,56247393100,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
11,57195596864,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
11,7401969039,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
11,54790496100,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
12,56857577200,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
12,6602866368,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
12,56116155300,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
13,57204029674,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
13,57196422740,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
13,55171433700,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
14,15318992700,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
14,6507391043,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
14,56299790500,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured,accepted
