ID,title,volume,DOI,Papertype
1,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,1210 AISC,10.1007/978-3-030-51758-8_15,fullPaper
2,Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,695 LNEE,10.1007/978-3-030-58653-9_3,fullPaper
3,Development of sediment management guidelines for small to medium reservoirs,146,10.1061/(ASCE)HY.1943-7900.0001822,fullPaper
4,Structural design space exploration using principal component analysis,20,10.1115/1.4047428,fullPaper
5,Religion-focused dating apps: A Q methodology study on the uses of mutual,55,10.1016/j.tele.2020.101448,fullPaper
6,Interleaving physics- and data-driven models for power system transient dynamics,189,10.1016/j.epsr.2020.106824,fullPaper
7,Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,60,10.1016/j.yofte.2020.102356,fullPaper
8,The effects of transition style for collaborative view sharing in immersive Virtual Reality,92,10.1016/j.cag.2020.08.003,fullPaper
9,Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,122,10.1016/j.ijepes.2020.106179,fullPaper
10,Solid-state membranes formed on natural menisci,31,10.1088/1361-6528/aba711,fullPaper
11,Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,270,10.1016/j.jclepro.2020.122465,fullPaper
12,Investigating steel tool life in the RFSSW process,58,10.1016/j.jmapro.2020.07.034,fullPaper
13,"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",5,10.1109/LRA.2020.3008140,fullPaper
14,In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,59,10.1016/j.yofte.2020.102334,fullPaper
15,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,370,10.1016/j.cma.2020.113283,fullPaper
16,Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,15,10.1109/MVT.2020.3002494,fullPaper
