ID,name,Type,editorID
3,Journal of Hydraulic Engineering,Journal,7202812767
4,Journal of Computing and Information Science in Engineering,Journal,6603907334
9,International Journal of Electrical Power and Energy Systems,Journal,7103123753
11,Journal of Cleaner Production,Journal,55945072200
12,Journal of Manufacturing Processes,Journal,55944583700
16,Journal of Nondestructive Evaluation,Journal,35099253600
24,International Journal of Robotics Research,Journal,56364369100
25,Journal of Water Process Engineering,Journal,57202367046
27,"Journal of Mechanical Design, Transactions of the ASME",Journal,57193409777
28,IEEE/CAA Journal of Automatica Sinica,Journal,57193401477
29,Journal of Biomechanical Engineering,Journal,56896749800
30,Noise Control Engineering Journal,Journal,55877167500
36,"Navigation, Journal of the Institute of Navigation",Journal,56247393100
37,Journal of Science Education and Technology,Journal,7404963860
42,Journal of Micromechanics and Microengineering,Journal,37105487900
46,International Journal of Bifurcation and Chaos,Journal,7403361614
55,Journal of Bridge Engineering,Journal,52663627000
60,International Journal of Machine Tools and Manufacture,Journal,14321763900
62,Journal of Manufacturing and Materials Processing,Journal,57195340095
64,Journal of Electromagnetic Waves and Applications,Journal,57193099661
65,Journal of Microelectromechanical Systems,Journal,57194047820
66,Journal of Materials Science,Journal,55938156500
67,International Journal of Heat and Mass Transfer,Journal,57194061052
70,Journal of Energy Storage,Journal,56080900100
73,"Journal of Biomaterials Science, Polymer Edition",Journal,57196655805
74,Journal of Nanobiotechnology,Journal,15831070600
77,Journal of Composite Materials,Journal,35615891900
82,AIAA Journal,Journal,12646129300
84,Journal of Dynamic Behavior of Materials,Journal,36933855300
85,Journal of Aerospace Information Systems,Journal,55812858700
88,Journal of Fluid Mechanics,Journal,57203178543
91,IEEE Journal of Oceanic Engineering,Journal,7403131979
96,Journal of Operations Management,Journal,7103186661
100,"Journal of Fluids Engineering, Transactions of the ASME",Journal,7202711709
112,International Journal of Modelling and Simulation,Journal,39862017300
115,Journal of Construction Engineering and Management,Journal,57194015684
123,Journal of Cognitive Engineering and Decision Making,Journal,57194006378
126,IEEE Journal of Biomedical and Health Informatics,Journal,35316779800
136,Journal of Structural Engineering (United States),Journal,6508342170
139,"Journal of Applied Mechanics, Transactions ASME",Journal,57189227384
145,Journal of Mechanics in Medicine and Biology,Journal,19639917400
151,International Journal of Plasticity,Journal,57189219942
154,Journal of Biological Engineering,Journal,57193266780
163,Journal of Mechanisms and Robotics,Journal,56941526100
165,Journal of Air Transportation,Journal,56710953300
166,Journal of Heat Transfer,Journal,7005883030
167,Journal of Materials Science and Technology,Journal,55194109800
171,Rapid Prototyping Journal,Journal,7004834766
172,Journal of Materials Processing Technology,Journal,57192106462
176,Journal of Biomechanics,Journal,56012868500
180,Journal of the Mechanical Behavior of Biomedical Materials,Journal,57190189579
190,Journal of Aircraft,Journal,8372868700
205,"Journal of Guidance, Control, and Dynamics",Journal,55946345200
214,IEEE Journal of Selected Topics in Quantum Electronics,Journal,55574195279
220,"Journal of Micro/ Nanolithography, MEMS, and MOEMS",Journal,56608873500
225,International Journal of Masonry Research and Innovation,Journal,56608333500
226,Turkish Journal of Electrical Engineering and Computer Sciences,Journal,7004980415
230,Journal of Materials Research,Journal,6506269903
231,Journal of Adhesion,Journal,23134948300
235,Journal of Spacecraft and Rockets,Journal,7004615647
244,"Journal of Electronic Packaging, Transactions of the ASME",Journal,23973526000
246,Chinese Journal of Mechanical Engineering (English Edition),Journal,56369566500
250,Journal of Constructional Steel Research,Journal,57193265581
251,Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics,Journal,24921842300
254,Biochemical Engineering Journal,Journal,55034648400
258,International Journal of Construction Education and Research,Journal,25222495900
260,Journal of Defense Modeling and Simulation,Journal,6601987763
263,International Journal of Technology and Design Education,Journal,7004441442
276,Journal of Engineering Education,Journal,57190000029
277,"Journal of Astronomical Telescopes, Instruments, and Systems",Journal,55953141600
280,IEEE Journal of Quantum Electronics,Journal,51461758000
286,International Journal on Interactive Design and Manufacturing,Journal,56825569600
287,Journal of Homeland Security and Emergency Management,Journal,7005903021
290,Journal of Biophotonics,Journal,12808778700
295,Fire Safety Journal,Journal,36240601900
312,International Journal of Designed Objects,Journal,57189030360
316,Journal of Thermophysics and Heat Transfer,Journal,16027856900
319,International Journal of Engineering Education,Journal,35213554500
333,Journal of Healthcare Engineering,Journal,23012861700
339,Journal of Sound and Vibration,Journal,55444802600
340,Journal of Reinforced Plastics and Composites,Journal,55326050200
341,IEEE Sensors Journal,Journal,57212184217
346,Journal of Professional Issues in Engineering Education and Practice,Journal,57189292901
347,Journal of Traffic and Transportation Engineering (English Edition),Journal,36137344800
349,Measurement: Journal of the International Measurement Confederation,Journal,55486520500
350,Journal of Technology Education,Journal,56950317400
351,International Journal of Industrial Organization,Journal,15521557600
352,"Journal of Medical Devices, Transactions of the ASME",Journal,57209397116
353,International Journal of Human Computer Studies,Journal,57212209717
355,Journal of Mechanical Science and Technology,Journal,57191997521
359,"Journal of Energy Resources Technology, Transactions of the ASME",Journal,57200659857
361,International Journal of Electronics,Journal,57200641848
366,SAE International Journal of Passenger Cars - Mechanical Systems,Journal,57117361200
367,Journal of Water Resources Planning and Management,Journal,57192010162
368,Journal of Management in Engineering,Journal,57214281810
369,International Journal of Multiphase Flow,Journal,55945088000
370,International Journal of Precision Engineering and Manufacturing,Journal,57202648414
375,Journal of Nonlinear Science,Journal,57188753800
384,Journal of Tissue Engineering,Journal,57202642302
395,Journal of Power Sources,Journal,57191474405
