Reviewer_ID,paper_id,decision,comments
26039464700,2,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
56300864300,2,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
47461179000,3,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
57201111988,3,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
57207685496,3,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
57217723923,3,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
56890669600,4,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
57189843306,4,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
57194155925,4,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
56556056000,4,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
57201111301,4,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
57188755995,4,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
7005412154,6,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
7402095346,6,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
57202585105,6,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
57201393186,6,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
56397285100,7,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
8674222900,7,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
57216486642,8,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
25522430900,8,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
57203301406,9,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
7004347500,9,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
57203179434,10,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
7201978585,10,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
7003915889,10,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
57145797800,10,accepted,This is an interesting study and the authors have collected a unique dataset using cuttingedge methodology. The paper is generally well written and structured
